SampleID,PF_UNIQUE_READS,PCT_OFF_BAIT,MEAN_BAIT_COVERAGE,MEAN_TARGET_COVERAGE,ZERO_CVG_TARGETS_PCT,PCT_TARGET_BASES_10X,PCT_TARGET_BASES_20X,Run
1-XBCU89_S492,605959,0.576435,1745.470712,59.151832,0.025641,0.985146,0.981067,R3125
10-JXSF51_S501,654974,0.573983,1972.889093,35.727323,0.025641,0.980153,0.946,R3125
11-JXSF52_S502,576373,0.574511,1602.587996,31.842262,0.017094,0.979545,0.906124,R3125
12-JXSF18_S503,978656,0.665645,1720.003757,17.717886,0.025641,0.927493,0.375989,R3125
13-JXSF19_S504,516467,0.569483,1589.933997,20.559357,0.025641,0.958054,0.547851,R3125
14-JXSG46_S505,589339,0.568887,1766.121347,23.565749,0.025641,0.967004,0.71332,R3125
15-JXSG47_S506,469245,0.572199,1331.639803,22.458724,0.017094,0.953732,0.680689,R3125
16-JXSG48_S507,470493,0.572594,1465.667933,21.252466,0.017094,0.966516,0.603373,R3125
17-JXSG49_S508,531797,0.574642,1588.98161,16.910264,0.025641,0.903994,0.306222,R3125
18-JXSG50_S509,456347,0.559941,1433.684227,21.487702,0.017094,0.963351,0.602155,R3125
19-JXSG51_S510,364404,0.569717,920.646093,32.896932,0.017094,0.979606,0.906064,R3125
2-JXSF43_S493,460971,0.5772,1452.666186,10.15445,0.025641,0.558444,0.012541,R3125
20-JXSG52_S511,545182,0.572094,1714.51483,23.784001,0.025641,0.96956,0.724826,R3125
21-JXSG53_S512,427562,0.568298,1206.902721,20.547668,0.025641,0.945391,0.56094,R3125
22-JXSG54_S513,611809,0.562383,1770.546281,43.434494,0.017094,0.980275,0.9695,R3125
23-JAMW91_S514,565819,0.581659,1561.245665,40.863083,0.017094,0.980397,0.960916,R3125
24-JAMW92_S515,452689,0.573467,1225.746298,38.359308,0.025641,0.981858,0.951236,R3125
25-JAMW93_S516,291499,0.567059,770.263967,23.746621,0.025641,0.957811,0.699257,R3125
26-JAMW94_S517,363450,0.571412,977.343817,24.314745,0.017094,0.969987,0.74449,R3125
27-JAMW95_S518,341708,0.567938,976.964836,23.46536,0.017094,0.963473,0.712712,R3125
3-JXSF44_S494,545798,0.570911,1725.316953,22.98064,0.025641,0.967551,0.691465,R3125
