SampleID,PF_UNIQUE_READS,PCT_OFF_BAIT,MEAN_BAIT_COVERAGE,MEAN_TARGET_COVERAGE,ZERO_CVG_TARGETS_PCT,PCT_TARGET_BASES_10X,PCT_TARGET_BASES_20X,Run
1-JNPJ17_S433,582114,0.753901,1625.13253,33.099416,0.017094,0.982589,0.938877,R3119
1-JNPJ30_S443,711780,0.748214,2821.35513,46.997626,0.025641,0.982041,0.970961,R3119
1-XBCR96_S400,345599,0.4949,2475.47093,15.639718,0.025641,0.880555,0.243577,R3119
1-XBCU05_S367,414635,0.516296,1812.473551,23.070559,0.025641,0.970717,0.719895,R3119
10-JNPJ29_S442,577238,0.755962,1592.367842,21.987094,0.017094,0.967612,0.633934,R3119
10-JNPJ61_S452,592970,0.746803,2065.674704,62.657433,0.025641,0.982102,0.980823,R3119
10-XBCS06_S409,296218,0.483792,2022.609051,29.152198,0.025641,0.978936,0.872093,R3119
10-XBCU14_S376,422224,0.519606,1752.780675,21.708207,0.025641,0.956776,0.635091,R3119
11-XBCS07_S410,376190,0.489673,2495.779889,33.956776,0.025641,0.979362,0.919031,R3119
11-XBCU15_S377,474801,0.523871,1831.801948,39.266833,0.025641,0.980032,0.966151,R3119
12-XBCS08_S411,328098,0.448482,1940.236448,32.254962,0.025641,0.977475,0.903385,R3119
12-XBCU16_S378,472321,0.47336,1837.129559,32.970961,0.025641,0.971387,0.922684,R3119
13-XBCS09_S412,309552,0.481362,2046.111431,32.235419,0.025641,0.978814,0.918057,R3119
13-XBCU17_S379,375022,0.511173,1525.806491,23.795507,0.025641,0.970474,0.737368,R3119
14-XBCS10_S413,438652,0.495044,3067.594286,44.604408,0.025641,0.98271,0.967551,R3119
14-XBCU18_S380,507773,0.520438,2105.188573,33.363753,0.025641,0.980093,0.939364,R3119
15-XBCS11_S414,362130,0.442773,2468.251256,29.68909,0.025641,0.974735,0.886826,R3119
15-XBCU19_S381,507690,0.5194,1970.019919,42.889809,0.025641,0.980336,0.967308,R3119
16-XBCS12_S415,324595,0.49109,2381.567422,17.904968,0.025641,0.939608,0.375563,R3119
16-XBCU20_S382,514321,0.520144,2101.708994,33.996591,0.025641,0.977596,0.923962,R3119
17-XBCS13_S416,354502,0.498407,2337.423667,19.103251,0.025641,0.944722,0.473213,R3119
17-XBCU21_S383,411006,0.510897,1755.897785,19.966882,0.025641,0.954158,0.507305,R3119
18-XBCS14_S417,339866,0.490761,2475.886122,21.976257,0.025641,0.9695,0.658894,R3119
18-XBCU22_S384,491890,0.516572,2074.545713,34.757823,0.025641,0.983015,0.936808,R3119
19-XBCS15_S418,265463,0.434844,1539.676102,31.448253,0.025641,0.973335,0.907099,R3119
19-XBCU23_S385,517291,0.527529,2074.760582,37.805674,0.025641,0.981127,0.957506,R3119
2-JNPJ18_S434,572167,0.755665,1573.005548,32.164861,0.025641,0.980214,0.931572,R3119
2-JNPJ35_S444,531480,0.748383,2005.896781,28.023925,0.025641,0.9737,0.852855,R3119
2-XBCR97_S401,413892,0.492942,2810.260997,31.449714,0.025641,0.979179,0.914891,R3119
2-XBCU06_S368,421034,0.480108,1639.175818,25.439669,0.025641,0.960916,0.793376,R3119
20-XBCS16_S419,317954,0.496282,2196.986896,17.381834,0.025641,0.925545,0.353342,R3119
20-XBCU24_S386,469808,0.523905,1947.612196,20.006514,0.025641,0.965603,0.507549,R3119
21-XBCS17_S420,345093,0.495338,2435.651815,17.29429,0.025641,0.929806,0.335079,R3119
21-XBCU25_S387,441312,0.529267,1723.332067,28.039632,0.025641,0.979301,0.87672,R3119
22-XBCS18_S421,506341,0.501809,2817.706242,72.015707,0.025641,0.985267,0.983563,R3119
22-XBCU26_S388,466790,0.521583,1955.187,34.505662,0.025641,0.980701,0.938451,R3119
23-XBCS19_S422,351992,0.49588,2298.255624,39.024047,0.025641,0.981006,0.953184,R3119
23-XBCU27_S389,512509,0.524728,2020.632639,37.519542,0.017094,0.981006,0.952393,R3119
24-EACN41_S476,478926,0.546911,1943.344516,55.660843,0.025641,0.981675,0.94046,R3119
24-XBCS20_S423,332120,0.496464,2327.546761,25.681846,0.025641,0.969743,0.809631,R3119
24-XBCU28_S390,432080,0.520273,1792.580789,29.190552,0.025641,0.978023,0.89127,R3119
25-EACN52_S477,461637,0.568193,1733.948762,36.421283,0.025641,0.960672,0.834044,R3119
25-XBCS21_S424,226633,0.492327,1263.691259,32.717582,0.025641,0.977049,0.896201,R3119
25-XBCU29_S391,519401,0.539989,1730.156205,74.870571,0.025641,0.985206,0.980032,R3119
26-EACO21_S478,621664,0.504559,2508.755471,170.837088,0.025641,0.98752,0.986607,R3119
26-XBCS22_S425,427440,0.508547,2588.066527,45.837575,0.025641,0.98545,0.975527,R3119
26-XBCU30_S392,450610,0.513976,2002.7214,26.626141,0.025641,0.975709,0.83794,R3119
27-EACO22_S479,448321,0.54699,1767.973136,48.890113,0.025641,0.976014,0.914769,R3119
27-XBCS23_S426,361354,0.493768,2580.239506,21.277852,0.025641,0.966821,0.604164,R3119
27-XBCU31_S393,418065,0.51886,1736.556327,19.309814,0.025641,0.952393,0.484232,R3119
28-EACO23_S480,521072,0.539232,2174.173809,67.000244,0.017094,0.983015,0.977414,R3119
28-XBCS24_S427,384942,0.49853,2459.93225,42.334409,0.025641,0.981127,0.968526,R3119
28-XBCS34_S394,342661,0.528522,1365.097584,23.142761,0.025641,0.963229,0.722391,R3119
29-EACO24_S481,487011,0.509642,1885.035164,48.590832,0.025641,0.964812,0.903628,R3119
