SampleID,PF_UNIQUE_READS,PCT_OFF_BAIT,MEAN_BAIT_COVERAGE,MEAN_TARGET_COVERAGE,ZERO_CVG_TARGETS_PCT,PCT_TARGET_BASES_10X,PCT_TARGET_BASES_20X,Run
1-JAMZ24_S570,320279,0.457436,2312.050976,19.738281,0.025641,0.946609,0.509132,R3141
1-XBDF36_S471,242931,0.464437,1513.333683,20.858517,0.025641,0.961646,0.576403,R3141
10-ABBV81_S579,362159,0.46809,2380.949329,38.886095,0.025641,0.98131,0.960246,R3141
10-XBDE53_S480,268245,0.457249,1830.078889,18.78254,0.025641,0.931694,0.444478,R3141
11-ABBU38_S580,293322,0.474853,1696.052592,31.448862,0.025641,0.979545,0.912943,R3141
11-XBDE54_S481,325591,0.458217,2110.23754,32.714234,0.025641,0.981006,0.924875,R3141
12-ABBU39_S581,287794,0.461084,1802.324903,44.354742,0.025641,0.981493,0.964629,R3141
12-XBDE55_S482,289546,0.468407,2012.835408,22.659747,0.017094,0.965969,0.688056,R3141
13-ABBU40_S582,362906,0.493605,1746.837898,64.241081,0.025641,0.983745,0.977962,R3141
13-XBDE56_S483,221955,0.462923,1483.593893,12.045111,0.025641,0.7244,0.054487,R3141
14-ABBU41_S583,320882,0.490878,1696.839645,22.931755,0.017094,0.959455,0.688421,R3141
14-XBDE57_S484,297607,0.471729,1957.163587,15.561853,0.017094,0.880677,0.159138,R3141
15-ABBU42_S584,240534,0.490655,1255.907788,27.091867,0.025641,0.9751,0.818824,R3141
15-XBDE58_S485,290544,0.451811,1885.975102,26.822537,0.025641,0.974553,0.839401,R3141
16-ABBU43_S585,322647,0.492877,1719.383218,25.162304,0.025641,0.971874,0.77493,R3141
16-XBDE59_S486,372228,0.464445,2517.801817,12.585352,0.025641,0.720626,0.081213,R3141
17-ABBU44_S586,360967,0.469218,2587.844407,17.64057,0.025641,0.918544,0.359126,R3141
17-XBDE60_S487,294615,0.458411,1859.579566,33.371302,0.017094,0.980945,0.929137,R3141
18-ABBU45_S587,307312,0.489261,1620.750229,35.983806,0.025641,0.979788,0.93973,R3141
18-XBDE61_S488,298503,0.455563,1946.931071,20.504931,0.017094,0.957628,0.546816,R3141
19-ABBU46_S588,251688,0.468446,1539.350282,24.119688,0.025641,0.962377,0.727079,R3141
19-XBCW18_S489,243050,0.453095,1469.749924,14.664313,0.017094,0.821563,0.189577,R3141
2-JAMZ36_S571,344958,0.469436,2218.091906,40.016498,0.025641,0.980214,0.954341,R3141
2-XBDF37_S472,228326,0.466196,1496.041192,13.787532,0.017094,0.801778,0.110861,R3141
20-ABBU47_S589,248608,0.464133,1587.758616,34.242786,0.025641,0.979423,0.92311,R3141
20-JXSF31_S490,182150,0.450423,1123.924344,12.210155,0.025641,0.691039,0.070376,R3141
21-ABBU48_S590,236587,0.475215,1495.093609,15.680446,0.025641,0.886339,0.240716,R3141
21-JXSF33_S491,203382,0.456432,1210.076879,16.516011,0.025641,0.907342,0.277609,R3141
