SampleID,PF_UNIQUE_READS,PCT_OFF_BAIT,MEAN_BAIT_COVERAGE,MEAN_TARGET_COVERAGE,ZERO_CVG_TARGETS_PCT,PCT_TARGET_BASES_10X,PCT_TARGET_BASES_20X,Run
1-JXQH63_S408,298350,0.452763,2118.919015,24.633569,0.025641,0.973091,0.751613,R2976
1-JXQI23_S341,375364,0.476305,2307.295461,17.054669,0.025641,0.914708,0.325216,R2976
10-JALW01_S350,427467,0.482618,2285.495086,26.636613,0.025641,0.969987,0.821746,R2976
10-JXQH82_S417,253168,0.457893,1749.880793,32.374163,0.017094,0.981067,0.924632,R2976
11-JALW02_S351,439133,0.503748,2068.674136,47.739498,0.025641,0.981067,0.976927,R2976
11-JXQH83_S418,322409,0.465516,2263.847814,50.845367,0.025641,0.984111,0.976075,R2976
12-JALW03_S352,449818,0.504053,2085.252523,62.274991,0.025641,0.984658,0.981127,R2976
12-JXQH84_S419,268657,0.452369,2017.446774,26.62602,0.025641,0.976866,0.82339,R2976
13-JALW04_S353,358215,0.492767,1826.163019,32.687142,0.025641,0.982589,0.924023,R2976
13-JXQH85_S420,245275,0.46308,1777.223343,26.288263,0.017094,0.972239,0.801169,R2976
14-AAZH42_S354,392269,0.481024,2073.267593,56.654024,0.017094,0.983624,0.974431,R2976
14-JXQH86_S421,312910,0.463356,1885.070939,65.799525,0.025641,0.983684,0.981615,R2976
15-AAZH43_S355,397327,0.49148,1989.710217,67.748995,0.025641,0.983502,0.981249,R2976
15-JXQH87_S422,250531,0.455219,1775.941117,35.920309,0.025641,0.982406,0.950384,R2976
16-AAZH44_S356,317831,0.490849,1652.230551,28.309935,0.017094,0.979545,0.868319,R2976
16-JXQH89_S423,232479,0.449324,1850.311886,16.493303,0.025641,0.908925,0.279009,R2976
17-AAZH45_S357,367868,0.48925,1999.182982,46.574881,0.025641,0.982406,0.972665,R2976
17-JXQH90_S424,254117,0.394251,1821.075831,36.776269,0.025641,0.978631,0.939364,R2976
18-AAZH46_S358,352761,0.48852,2028.189403,23.168392,0.025641,0.964934,0.703701,R2976
18-JXQH91_S425,221057,0.461926,1564.58306,17.566723,0.025641,0.920675,0.347681,R2976
19-AAZH47_S359,348598,0.478843,1900.169615,47.193717,0.017094,0.981736,0.975405,R2976
19-JXQH92_S426,207761,0.456152,1519.062333,16.477962,0.017094,0.894984,0.289297,R2976
2-JXQH64_S409,337904,0.465648,2462.458175,28.209241,0.025641,0.978023,0.857117,R2976
2-JXQI24_S342,408663,0.487414,1990.467829,63.746804,0.017094,0.983745,0.980762,R2976
20-AAZH48_S360,314971,0.494845,1653.481457,27.503166,0.025641,0.97504,0.853464,R2976
20-JXQH93_S427,461151,0.452808,3515.173241,33.767198,0.025641,0.980214,0.93352,R2976
21-JXQH94_S428,208627,0.448704,1445.433844,24.559418,0.017094,0.964568,0.772738,R2976
21-SAAV75_S361,397740,0.489922,2083.117765,61.315293,0.017094,0.985206,0.978997,R2976
22-JXPY23_S476,482584,0.545263,1999.469751,60.932485,0.025641,0.981493,0.970839,R2976
22-JXQH95_S429,245772,0.455879,1686.117372,26.186838,0.025641,0.977657,0.818276,R2976
22-SAAV76_S362,437400,0.480959,2486.282008,44.739742,0.017094,0.982041,0.964934,R2976
23-JXQH96_S430,189426,0.453271,1519.442275,10.980397,0.025641,0.630403,0.022708,R2976
23-SAAV77_S363,321795,0.481808,1771.312803,32.948557,0.017094,0.981493,0.924997,R2976
23-XAZE37_S477,441855,0.501176,1713.125584,94.433581,0.025641,0.981797,0.97504,R2976
24-JXQH97_S431,257453,0.457643,2033.195475,22.579204,0.025641,0.969743,0.681298,R2976
24-XAZE54_S478,434950,0.529732,1790.784476,74.676732,0.025641,0.981371,0.978023,R2976
24-XAZJ51_S364,252701,0.49591,1432.459485,6.803482,0.017094,0.169366,0.000426,R2976
25-AAYU93_S365,276589,0.492635,1856.275193,9.937477,0.025641,0.504566,0.017655,R2976
25-JXQH98_S432,247147,0.453069,1723.378282,30.313223,0.025641,0.980275,0.901863,R2976
25-XAZE70_S479,481428,0.518056,2019.267243,93.69043,0.025641,0.983076,0.978023,R2976
26-AAYV78_S366,266643,0.491543,1494.048923,7.504322,0.017094,0.238098,0.000365,R2976
26-JXQH99_S433,231815,0.457986,1573.818984,23.856934,0.025641,0.97163,0.727444,R2976
26-XAZF02_S480,446057,0.4912,1895.746822,69.074516,0.025641,0.971569,0.966273,R2976
27-AAYW14_S367,250799,0.483758,1483.853318,13.65926,0.017094,0.807561,0.104529,R2976
27-JXQI01_S434,555369,0.457377,3831.255056,41.661451,0.017094,0.983015,0.965542,R2976
27-XAZF66_S481,469226,0.50792,1844.393788,95.244612,0.025641,0.982345,0.975527,R2976
28-JXQI02_S435,195449,0.449154,1440.06063,25.995678,0.017094,0.978936,0.810544,R2976
28-XAZF78_S482,411332,0.504836,1714.845018,67.844576,0.025641,0.972909,0.962925,R2976
28-XAZL23_S368,243978,0.487988,1292.305159,14.719469,0.025641,0.872032,0.160721,R2976
29-AAYW51_S369,237989,0.485953,1435.365133,11.832156,0.025641,0.690673,0.043955,R2976
29-E0AG70_S483,447244,0.546577,1786.392434,85.170096,0.025641,0.985693,0.980884,R2976
29-JXQI04_S436,219370,0.46004,1547.130913,25.688847,0.025641,0.970291,0.782296,R2976
3-JXQH65_S410,327599,0.456509,2431.7487,31.169487,0.025641,0.978084,0.905577,R2976
3-JXQI25_S343,377814,0.494836,1966.176692,42.240716,0.025641,0.982102,0.964507,R2976
30-E0AG71_S484,429278,0.563137,1746.494955,50.912273,0.025641,0.97924,0.922744,R2976
30-JXQI05_S437,245491,0.457598,1598.666142,31.817241,0.017094,0.982102,0.913308,R2976
30-XAZK27_S370,238528,0.470696,1502.788145,11.772677,0.017094,0.690065,0.054609,R2976
31-EACG71_S485,546879,0.536893,2403.95942,122.524717,0.025641,0.986302,0.983319,R2976
31-JXQI06_S438,257627,0.455946,1827.244922,29.220017,0.017094,0.979362,0.881042,R2976
31-XAZM15_S371,247468,0.48649,1442.967064,15.265737,0.025641,0.867831,0.165287,R2976
32-EACG72_S486,477047,0.550511,1995.393133,64.468221,0.025641,0.983928,0.957993,R2976
32-JXQI07_S439,250135,0.451792,1782.857118,33.76525,0.025641,0.981006,0.928589,R2976
32-XAZM57_S372,171567,0.491709,1043.930896,4.684768,0.025641,0.043711,0.003166,R2976
33-EACG73_S487,461053,0.55238,1765.41065,102.518994,0.025641,0.985206,0.983684,R2976
33-JXQI08_S440,230381,0.452575,1704.987857,20.795994,0.017094,0.957506,0.581761,R2976
