SampleID,PF_UNIQUE_READS,PCT_OFF_BAIT,MEAN_BAIT_COVERAGE,MEAN_TARGET_COVERAGE,ZERO_CVG_TARGETS_PCT,PCT_TARGET_BASES_10X,PCT_TARGET_BASES_20X,Run
1-AAZC23_S368,368042,0.486425,1921.931944,38.432242,0.025641,0.983015,0.961829,R2973
1-AAZC67_S96,314160,0.459009,1914.179225,38.790637,0.025641,0.980214,0.951418,R2973
1-AAZD08_S232,354589,0.505612,1430.394575,44.345063,0.017094,0.981127,0.967004,R2973
1-AAZE47_S776,303551,0.469247,1649.542174,64.20705,0.025641,0.983684,0.980336,R2973
1-AAZE98_S708,281546,0.427639,1526.132399,27.908012,0.025641,0.966699,0.865822,R2973
1-JXQD50_S572,345212,0.513048,1473.163238,28.959515,0.025641,0.973944,0.888348,R2973
1-XAZS09_S300,377208,0.521388,1390.670773,28.688177,0.025641,0.983258,0.884451,R2973
1-XAZS80_S164,305907,0.478687,1522.24051,48.719226,0.025641,0.983745,0.970535,R2973
1-XAZT99_S436,256552,0.486649,1368.247674,19.90996,0.017094,0.948253,0.492329,R2973
1-XAZU69_S504,349615,0.493946,1654.494518,29.037928,0.017094,0.97504,0.859308,R2973
1-XAZV82_S844,308578,0.509171,1398.912288,30.579325,0.025641,0.977475,0.909168,R2973
1-XAZW16_S640,279503,0.48264,1548.441358,30.089736,0.025641,0.97504,0.892609,R2973
10-AAZC87_S173,268359,0.46663,1451.393657,26.119688,0.017094,0.974553,0.795324,R2973
10-AAZD27_S241,392572,0.503102,1715.245927,49.6371,0.025641,0.984598,0.977901,R2973
10-AAZE56_S785,294322,0.470881,1603.209671,68.727201,0.025641,0.982954,0.98058,R2973
10-AAZF08_S717,346080,0.487009,1774.58389,50.205771,0.025641,0.983684,0.974918,R2973
10-JALU63_S581,519410,0.503654,2357.13847,26.756605,0.025641,0.971082,0.816206,R2973
10-SAAV36_S105,279627,0.456407,1807.253964,29.185925,0.025641,0.978571,0.870632,R2973
10-XAZS18_S309,319427,0.520932,1116.099244,32.281444,0.025641,0.980093,0.924388,R2973
10-XAZS29_S377,290021,0.494022,1527.697462,14.461281,0.025641,0.845915,0.143066,R2973
10-XAZU09_S445,294064,0.486521,1474.894684,38.919822,0.025641,0.980519,0.957872,R2973
10-XAZU78_S513,368445,0.491362,1528.536889,52.354134,0.025641,0.981919,0.9737,R2973
10-XAZV91_S853,280796,0.502647,1370.206089,18.858882,0.025641,0.931511,0.446305,R2973
10-XAZW25_S649,396317,0.493218,2166.675054,37.112139,0.025641,0.981736,0.95428,R2973
11-AAZC88_S174,278495,0.462805,1476.824837,36.744308,0.017094,0.979971,0.950079,R2973
11-AAZD30_S242,395091,0.503396,1616.958066,55.190856,0.017094,0.984841,0.978631,R2973
11-AAZE57_S786,242965,0.468205,1328.24169,33.525813,0.025641,0.97924,0.93072,R2973
11-AAZF09_S718,387543,0.489396,2028.381339,58.524413,0.025641,0.983076,0.977414,R2973
11-JALU64_S582,422690,0.512485,1870.108286,21.420431,0.025641,0.952393,0.607512,R2973
11-SAAV37_S106,305115,0.465949,1794.512777,44.355412,0.025641,0.983745,0.974187,R2973
11-XAZS19_S310,358455,0.525836,1309.588652,40.199379,0.025641,0.981127,0.971509,R2973
11-XAZU10_S446,289347,0.471623,1686.514524,28.849324,0.025641,0.979484,0.873737,R2973
11-XAZU79_S514,329805,0.49769,1454.989385,43.199866,0.025641,0.981127,0.969865,R2973
11-XAZV92_S854,364398,0.500137,1584.633032,45.735602,0.025641,0.982345,0.968404,R2973
11-XAZW26_S650,333836,0.469678,1819.827633,50.782235,0.025641,0.980397,0.971387,R2973
11-XAZW37_S378,366223,0.486709,1873.343642,42.017046,0.025641,0.98405,0.968099,R2973
12-AAZD09_S175,263457,0.475389,1355.32451,29.431207,0.017094,0.978692,0.880433,R2973
12-AAZD32_S243,371005,0.494901,1631.887433,27.217034,0.025641,0.977536,0.826373,R2973
12-AAZE58_S787,262953,0.469449,1628.518237,17.77907,0.025641,0.921283,0.38293,R2973
12-AAZF10_S719,343863,0.491259,1631.530337,70.716182,0.025641,0.984354,0.981858,R2973
12-AAZF51_S379,297190,0.48958,1446.566723,27.945209,0.025641,0.978631,0.869901,R2973
12-JALU77_S583,570583,0.510327,2426.763246,41.869475,0.017094,0.981371,0.96536,R2973
12-SAAV38_S107,278180,0.455304,1628.552309,51.570254,0.025641,0.984111,0.974735,R2973
12-XAZS20_S311,411304,0.527125,1556.204298,24.157738,0.017094,0.973578,0.72921,R2973
12-XAZU11_S447,309938,0.481549,1736.865068,23.138865,0.025641,0.962925,0.705893,R2973
12-XAZU80_S515,366903,0.492827,1614.683965,44.076951,0.025641,0.981554,0.969013,R2973
12-XAZV93_S855,340209,0.506673,1421.803826,37.222939,0.025641,0.981067,0.949714,R2973
12-XAZW27_S651,379041,0.484313,1914.449526,49.346402,0.025641,0.983806,0.970108,R2973
13-AAZB83_S312,404954,0.528135,1424.262962,52.216425,0.025641,0.981736,0.976866,R2973
13-AAZD10_S176,308588,0.47544,1709.033504,23.61914,0.025641,0.972117,0.720808,R2973
13-AAZD33_S244,393569,0.510735,1734.838029,33.390783,0.017094,0.981858,0.932485,R2973
13-AAZE59_S788,282243,0.466563,1630.777574,41.119384,0.025641,0.984111,0.964507,R2973
13-AAZF11_S720,317301,0.485425,1733.616302,41.516437,0.025641,0.979484,0.952453,R2973
13-AAZF52_S380,319034,0.485578,1381.506618,54.674723,0.017094,0.982954,0.978692,R2973
13-JALU78_S584,522483,0.508961,2174.323854,43.75831,0.025641,0.983684,0.972239,R2973
13-SAAV39_S108,323162,0.456064,1799.814747,68.534397,0.025641,0.984354,0.980093,R2973
13-XAZU12_S448,322493,0.476488,1771.357096,43.61914,0.025641,0.981006,0.962986,R2973
13-XAZU81_S516,430184,0.497381,1648.371598,93.339097,0.025641,0.985693,0.982284,R2973
13-XAZV94_S856,401619,0.503399,1624.929061,67.830391,0.025641,0.985206,0.981067,R2973
13-XAZW28_S652,401803,0.484282,2210.386406,28.816389,0.025641,0.977475,0.869232,R2973
14-AAZB84_S313,369402,0.52146,1261.213908,38.557774,0.025641,0.98131,0.964873,R2973
14-AAZD11_S177,270709,0.47918,1348.123138,40.489103,0.025641,0.980519,0.972726,R2973
14-AAZD34_S245,372402,0.504832,1453.187481,49.660599,0.017094,0.986607,0.974979,R2973
14-AAZE13_S517,298217,0.489682,1362.458437,26.793133,0.025641,0.978936,0.839705,R2973
14-AAZE60_S789,278314,0.469585,1581.766872,45.447583,0.025641,0.981067,0.972422,R2973
14-AAZF12_S721,289483,0.479457,1533.316298,37.133751,0.025641,0.979362,0.946609,R2973
14-AAZF53_S381,345893,0.470495,1937.022103,32.013576,0.017094,0.97924,0.91964,R2973
14-SAAV40_S109,302269,0.463966,1787.748176,45.819676,0.025641,0.982041,0.974796,R2973
14-XAZU13_S449,271042,0.437788,1505.058664,20.503227,0.025641,0.942469,0.551565,R2973
14-XAZV95_S857,338684,0.505229,1470.118595,31.954462,0.025641,0.978997,0.907951,R2973
14-XAZV99_S585,303187,0.505445,1288.11462,31.388287,0.025641,0.97991,0.916778,R2973
14-XAZW29_S653,337621,0.482246,1822.118158,32.00207,0.025641,0.975953,0.917326,R2973
15-AAZB85_S314,400028,0.525547,1455.609007,36.558261,0.025641,0.98131,0.953245,R2973
15-AAZD12_S178,257469,0.466002,1430.886909,31.428954,0.017094,0.981493,0.919092,R2973
15-AAZD39_S246,361853,0.501482,1633.179138,24.150919,0.017094,0.970108,0.727018,R2973
15-AAZE14_S518,288216,0.491849,1300.529682,25.267137,0.025641,0.972544,0.802082,R2973
15-AAZE61_S790,254479,0.468848,1582.044861,24.831061,0.025641,0.970108,0.773164,R2973
15-AAZF13_S722,286026,0.483686,1476.902022,32.186473,0.025641,0.977292,0.922988,R2973
15-AAZF54_S382,579980,0.493571,2580.490019,145.232376,0.025641,0.986667,0.985267,R2973
15-SAAV41_S110,291184,0.465172,1692.049142,49.007914,0.025641,0.984841,0.976318,R2973
15-XAZU14_S450,275201,0.493672,1546.681649,13.086448,0.025641,0.721783,0.111287,R2973
15-XAZV96_S858,321909,0.505603,1407.094046,21.466577,0.025641,0.952514,0.610861,R2973
15-XAZW01_S586,296466,0.504717,1244.422793,29.249665,0.017094,0.977475,0.888713,R2973
15-XAZW30_S654,306267,0.478579,1620.611934,33.786741,0.025641,0.980336,0.935286,R2973
16-AAZB86_S315,325678,0.525842,1243.101472,15.266103,0.017094,0.889444,0.169305,R2973
16-AAZD13_S179,290642,0.472373,1648.04722,28.330817,0.025641,0.979666,0.87191,R2973
16-AAZD40_S247,358667,0.500841,1641.757437,27.202788,0.025641,0.978084,0.838183,R2973
16-AAZE15_S519,326952,0.495091,1501.535316,37.151406,0.025641,0.981371,0.950384,R2973
