SampleID,PF_UNIQUE_READS,PCT_OFF_BAIT,MEAN_BAIT_COVERAGE,MEAN_TARGET_COVERAGE,ZERO_CVG_TARGETS_PCT,PCT_TARGET_BASES_10X,PCT_TARGET_BASES_20X,Run
1-AAZS82_S493,339788,0.502761,1732.656838,18.77493,0.025641,0.938147,0.457933,R3004
10-AAZS91_S502,318322,0.496879,1484.060018,41.159564,0.017094,0.983136,0.967551,R3004
11-XBAM61_S503,390463,0.496309,1623.356397,81.93285,0.025641,0.983015,0.981858,R3004
12-XBAM62_S504,349672,0.508186,1532.37767,51.374041,0.025641,0.984598,0.976805,R3004
13-XBAM63_S505,299430,0.50528,1383.486262,36.134543,0.017094,0.983015,0.9446,R3004
14-XBAM64_S506,373626,0.513316,1837.015114,39.251492,0.017094,0.982406,0.963168,R3004
15-XBAM65_S507,320367,0.509238,1393.162408,44.108487,0.017094,0.983502,0.970717,R3004
16-XBAM66_S508,316965,0.507911,1479.623509,34.166687,0.025641,0.980945,0.941982,R3004
17-XBAM67_S509,382174,0.512601,1872.21963,35.888226,0.025641,0.983076,0.956045,R3004
18-XBAM68_S510,334583,0.507357,1532.076137,41.442165,0.025641,0.981188,0.966577,R3004
19-XBAM69_S511,368257,0.511919,1709.880225,52.393766,0.025641,0.984415,0.977718,R3004
2-AAZS83_S494,373421,0.50916,1754.62696,42.90442,0.025641,0.981493,0.973822,R3004
20-XBAM70_S512,361493,0.459429,1678.18949,43.892305,0.025641,0.981006,0.95842,R3004
21-XBAM71_S513,380336,0.510974,1752.711222,51.658955,0.025641,0.983624,0.977109,R3004
22-XBAM72_S514,381816,0.500386,1675.719827,73.227566,0.017094,0.987459,0.981554,R3004
23-XBAM73_S515,333871,0.507292,1491.673699,36.689395,0.025641,0.983319,0.954036,R3004
24-XBAM74_S516,307846,0.50896,1387.223824,30.704371,0.025641,0.982284,0.905577,R3004
25-XBAM75_S517,458933,0.507142,2406.85904,33.141057,0.025641,0.983076,0.928345,R3004
26-XBAM76_S518,562008,0.512603,2832.321583,46.182637,0.017094,0.984171,0.967673,R3004
27-XBAM77_S519,465544,0.493925,2139.986459,68.167296,0.025641,0.985754,0.982771,R3004
28-EACH80_S570,435648,0.488351,1730.451535,117.151285,0.025641,0.984902,0.981067,R3004
28-XBAM78_S520,518940,0.514216,2538.07072,33.61774,0.017094,0.978327,0.931572,R3004
